,ISIN,Position Date,Aggregated short
377,GB0006640972,2020-04-13 00:00:00,0.46
378,GB0006640972,2020-04-14 00:00:00,0.46
379,GB0006640972,2020-04-15 00:00:00,0.46
380,GB0006640972,2020-04-16 00:00:00,0.46
381,GB0006640972,2020-04-17 00:00:00,0.46
382,GB0006640972,2020-04-20 00:00:00,0.46
383,GB0006640972,2020-04-21 00:00:00,0.46
384,GB0006640972,2020-04-22 00:00:00,0.46
385,GB0006640972,2020-04-23 00:00:00,0.46
386,GB0006640972,2020-04-24 00:00:00,0.46
387,GB0006640972,2020-04-27 00:00:00,0.46
388,GB0006640972,2020-04-28 00:00:00,0.46
389,GB0006640972,2020-04-29 00:00:00,0.46
390,GB0006640972,2020-04-30 00:00:00,0.46
391,GB0006640972,2020-05-01 00:00:00,0.46
392,GB0006640972,2020-05-04 00:00:00,0.46
393,GB0006640972,2020-05-05 00:00:00,0.46
394,GB0006640972,2020-05-06 00:00:00,0.46
395,GB0006640972,2020-05-07 00:00:00,0.46
396,GB0006640972,2020-05-08 00:00:00,0.46
397,GB0006640972,2020-05-11 00:00:00,0.46
398,GB0006640972,2020-05-12 00:00:00,0.46
399,GB0006640972,2020-05-13 00:00:00,0.46
400,GB0006640972,2020-05-14 00:00:00,0.46
401,GB0006640972,2020-05-15 00:00:00,0.46
402,GB0006640972,2020-05-18 00:00:00,0.46
403,GB0006640972,2020-05-19 00:00:00,0.46
404,GB0006640972,2020-05-20 00:00:00,0.46
405,GB0006640972,2020-05-21 00:00:00,0.46
406,GB0006640972,2020-05-22 00:00:00,0.46
407,GB0006640972,2020-05-25 00:00:00,0.46
408,GB0006640972,2020-05-26 00:00:00,0.46
409,GB0006640972,2020-05-27 00:00:00,0.46
410,GB0006640972,2020-05-28 00:00:00,0.46
411,GB0006640972,2020-05-29 00:00:00,0.46
412,GB0006640972,2020-06-01 00:00:00,0.46
413,GB0006640972,2020-06-02 00:00:00,0.46
414,GB0006640972,2020-06-03 00:00:00,0.46
415,GB0006640972,2020-06-04 00:00:00,0.46
416,GB0006640972,2020-06-05 00:00:00,0.46
417,GB0006640972,2020-06-08 00:00:00,0.46
418,GB0006640972,2020-06-09 00:00:00,0.46
419,GB0006640972,2020-06-10 00:00:00,0.46
420,GB0006640972,2020-06-11 00:00:00,0.46
421,GB0006640972,2020-06-12 00:00:00,0.46
422,GB0006640972,2020-06-15 00:00:00,0.46
423,GB0006640972,2020-06-16 00:00:00,0.46
424,GB0006640972,2020-06-17 00:00:00,0.46
425,GB0006640972,2020-06-18 00:00:00,0.46
426,GB0006640972,2020-06-19 00:00:00,0.46
427,GB0006640972,2020-06-22 00:00:00,0.46
428,GB0006640972,2020-06-23 00:00:00,0.46
429,GB0006640972,2020-06-24 00:00:00,0.46
430,GB0006640972,2020-06-25 00:00:00,0.46
431,GB0006640972,2020-06-26 00:00:00,0.46
432,GB0006640972,2020-06-29 00:00:00,0.46
433,GB0006640972,2020-06-30 00:00:00,0.46
434,GB0006640972,2020-07-01 00:00:00,0.46
435,GB0006640972,2020-07-02 00:00:00,0.46
436,GB0006640972,2020-07-03 00:00:00,0.46
437,GB0006640972,2020-07-06 00:00:00,0.46
438,GB0006640972,2020-07-07 00:00:00,0.46
439,GB0006640972,2020-07-08 00:00:00,0.46
440,GB0006640972,2020-07-09 00:00:00,0.46
441,GB0006640972,2020-07-10 00:00:00,0.46
442,GB0006640972,2020-07-13 00:00:00,0.46
443,GB0006640972,2020-07-14 00:00:00,0.46
444,GB0006640972,2020-07-15 00:00:00,0.46
445,GB0006640972,2020-07-16 00:00:00,0.46
446,GB0006640972,2020-07-17 00:00:00,0.46
447,GB0006640972,2020-07-20 00:00:00,0.46
448,GB0006640972,2020-07-21 00:00:00,0.46
449,GB0006640972,2020-07-22 00:00:00,0.46
450,GB0006640972,2020-07-23 00:00:00,0.46
451,GB0006640972,2020-07-24 00:00:00,0.46
452,GB0006640972,2020-07-27 00:00:00,0.46
453,GB0006640972,2020-07-28 00:00:00,0.46
454,GB0006640972,2020-07-29 00:00:00,0.46
455,GB0006640972,2020-07-30 00:00:00,0.46
456,GB0006640972,2020-07-31 00:00:00,0.46
457,GB0006640972,2020-08-03 00:00:00,0.46
458,GB0006640972,2020-08-04 00:00:00,0.46
459,GB0006640972,2020-08-05 00:00:00,0.46
460,GB0006640972,2020-08-06 00:00:00,0.46
461,GB0006640972,2020-08-07 00:00:00,0.46
462,GB0006640972,2020-08-10 00:00:00,0.46
463,GB0006640972,2020-08-11 00:00:00,0.46
464,GB0006640972,2020-08-12 00:00:00,0.46
465,GB0006640972,2020-08-13 00:00:00,0.46
466,GB0006640972,2020-08-14 00:00:00,0.5
467,GB0006640972,2020-08-14 00:00:00,0.46
468,GB0006640972,2020-08-17 00:00:00,0.5
469,GB0006640972,2020-08-17 00:00:00,0.46
470,GB0006640972,2020-08-18 00:00:00,0.5
